{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1218285964, 'order': 1351629300, 'index_calculus_result': 392977800, 'index_calculus_time': 2.5945513248443604, 'index_calculus_mem_mb': 0.6442947387695312}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1034037786, 'order': 1351629300, 'index_calculus_result': 1026867284, 'index_calculus_time': 2.2022881507873535, 'index_calculus_mem_mb': 0.6390838623046875}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 146970801, 'order': 1351629300, 'index_calculus_result': 783342856, 'index_calculus_time': 2.7793667316436768, 'index_calculus_mem_mb': 0.6424522399902344}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 2477926049, 'order': 1351629300, 'index_calculus_result': 573230831, 'index_calculus_time': 2.37206768989563, 'index_calculus_mem_mb': 0.6311378479003906}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1028735461, 'order': 1351629300, 'index_calculus_result': 621901293, 'index_calculus_time': 3.142987012863159, 'index_calculus_mem_mb': 0.6404991149902344}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 2656939438, 'order': 1351629300, 'index_calculus_result': 1203686767, 'index_calculus_time': 2.182530164718628, 'index_calculus_mem_mb': 0.6109962463378906}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 961518652, 'order': 1351629300, 'index_calculus_result': 369968811, 'index_calculus_time': 2.685525894165039, 'index_calculus_mem_mb': 0.6382827758789062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1897406873, 'order': 1351629300, 'index_calculus_result': 992934941, 'index_calculus_time': 2.698168992996216, 'index_calculus_mem_mb': 0.6548042297363281}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 318981655, 'order': 1351629300, 'index_calculus_result': 224445105, 'index_calculus_time': 2.7218809127807617, 'index_calculus_mem_mb': 0.6339111328125}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1168307071, 'order': 1351629300, 'index_calculus_result': 1237027906, 'index_calculus_time': 2.516221761703491, 'index_calculus_mem_mb': 0.6337814331054688}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1135767220, 'order': 1351629300, 'index_calculus_result': 1056623895, 'index_calculus_time': 2.607320547103882, 'index_calculus_mem_mb': 0.6509056091308594}
