{'bit_size': 24, 'number': 4528159, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2113, 'pollard_time': 0.0, 'lenstra_factor': {2113, 2143}, 'lenstra_time': 0.0035049915313720703}
{'bit_size': 24, 'number': 8444837, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 3313, 'pollard_time': 0.0, 'lenstra_factor': {3313, 2549}, 'lenstra_time': 0.0010039806365966797}
{'bit_size': 24, 'number': 15405953, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 4051, 'pollard_time': 0.0, 'lenstra_factor': {3803, 4051}, 'lenstra_time': 0.0010004043579101562}
{'bit_size': 24, 'number': 9298343, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2309, 'pollard_time': 0.0, 'lenstra_factor': {4027, 2309}, 'lenstra_time': 0.0009996891021728516}
{'bit_size': 24, 'number': 10799753, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2777, 'pollard_time': 0.0, 'lenstra_factor': {2777, 3889}, 'lenstra_time': 0.0}
{'bit_size': 24, 'number': 4884091, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2207, 'pollard_time': 0.0, 'lenstra_factor': {2213, 2207}, 'lenstra_time': 0.0}
{'bit_size': 24, 'number': 11736911, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 3001, 'pollard_time': 0.0, 'lenstra_factor': {3001, 3911}, 'lenstra_time': 0.0009999275207519531}
{'bit_size': 24, 'number': 12057959, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 3709, 'pollard_time': 0.0, 'lenstra_factor': {3251, 3709}, 'lenstra_time': 0.0010001659393310547}
{'bit_size': 24, 'number': 8210581, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2203, 'pollard_time': 0.0, 'lenstra_factor': {2203, 3727}, 'lenstra_time': 0.0}
{'bit_size': 24, 'number': 12109261, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 3391, 'pollard_time': 0.0, 'lenstra_factor': {3571, 3391}, 'lenstra_time': 0.0}
{'bit_size': 24, 'number': 10588507, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 3251, 'pollard_time': 0.0, 'lenstra_factor': {3257, 3251}, 'lenstra_time': 0.00099945068359375}
{'bit_size': 24, 'number': 10037581, 'novale_factor': None, 'novale_time': 0.001001119613647461, 'pollard_factor': 2699, 'pollard_time': 0.0, 'lenstra_factor': {2699, 3719}, 'lenstra_time': 0.0}
{'bit_size': 24, 'number': 11266543, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2903, 'pollard_time': 0.0, 'lenstra_factor': {3881, 2903}, 'lenstra_time': 0.0009999275207519531}
{'bit_size': 24, 'number': 9588751, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2393, 'pollard_time': 0.0, 'lenstra_factor': {2393, 4007}, 'lenstra_time': 0.0}
{'bit_size': 24, 'number': 10648039, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2857, 'pollard_time': 0.0, 'lenstra_factor': {2857, 3727}, 'lenstra_time': 0.0010001659393310547}
{'bit_size': 24, 'number': 7879451, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2357, 'pollard_time': 0.0, 'lenstra_factor': {2357, 3343}, 'lenstra_time': 0.0010006427764892578}
{'bit_size': 24, 'number': 10493761, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 3673, 'pollard_time': 0.0009999275207519531, 'lenstra_factor': {3673, 2857}, 'lenstra_time': 0.0}
{'bit_size': 24, 'number': 7746371, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 3229, 'pollard_time': 0.0, 'lenstra_factor': {3229, 2399}, 'lenstra_time': 0.00099945068359375}
{'bit_size': 24, 'number': 11088787, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 3673, 'pollard_time': 0.0, 'lenstra_factor': {3673, 3019}, 'lenstra_time': 0.0015027523040771484}
{'bit_size': 24, 'number': 12867653, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 3863, 'pollard_time': 0.0, 'lenstra_factor': {3331, 3863}, 'lenstra_time': 0.0010051727294921875}
{'bit_size': 24, 'number': 13442203, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 3343, 'pollard_time': 0.0, 'lenstra_factor': {4021, 3343}, 'lenstra_time': 0.0}
{'bit_size': 24, 'number': 9471271, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2957, 'pollard_time': 0.0, 'lenstra_factor': {3203, 2957}, 'lenstra_time': 0.0}
{'bit_size': 24, 'number': 5973109, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2243, 'pollard_time': 0.0, 'lenstra_factor': {2243, 2663}, 'lenstra_time': 0.0009989738464355469}
{'bit_size': 24, 'number': 5133019, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2411, 'pollard_time': 0.0, 'lenstra_factor': {2129, 2411}, 'lenstra_time': 0.0}
{'bit_size': 24, 'number': 8187061, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 3079, 'pollard_time': 0.0, 'lenstra_factor': {2659, 3079}, 'lenstra_time': 0.0010001659393310547}
{'bit_size': 24, 'number': 5726167, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2749, 'pollard_time': 0.0, 'lenstra_factor': {2083, 2749}, 'lenstra_time': 0.0010004043579101562}
{'bit_size': 24, 'number': 11429437, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 3847, 'pollard_time': 0.0, 'lenstra_factor': {2971, 3847}, 'lenstra_time': 0.0}
{'bit_size': 24, 'number': 7331239, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2663, 'pollard_time': 0.0, 'lenstra_factor': {2753, 2663}, 'lenstra_time': 0.0}
{'bit_size': 24, 'number': 7556953, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 3313, 'pollard_time': 0.0, 'lenstra_factor': {2281, 3313}, 'lenstra_time': 0.0}
{'bit_size': 24, 'number': 13373249, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 3637, 'pollard_time': 0.0, 'lenstra_factor': {3637, 3677}, 'lenstra_time': 0.0009984970092773438}
{'bit_size': 24, 'number': 12642241, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 3947, 'pollard_time': 0.0, 'lenstra_factor': {3947, 3203}, 'lenstra_time': 0.0009999275207519531}
{'bit_size': 24, 'number': 8984383, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 3851, 'pollard_time': 0.0, 'lenstra_factor': {3851, 2333}, 'lenstra_time': 0.00099945068359375}
{'bit_size': 24, 'number': 10380899, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2657, 'pollard_time': 0.0, 'lenstra_factor': {2657, 3907}, 'lenstra_time': 0.0009996891021728516}
{'bit_size': 24, 'number': 7267541, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2393, 'pollard_time': 0.0, 'lenstra_factor': {2393, 3037}, 'lenstra_time': 0.0010001659393310547}
{'bit_size': 24, 'number': 4725187, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2141, 'pollard_time': 0.0, 'lenstra_factor': {2141, 2207}, 'lenstra_time': 0.0}
{'bit_size': 24, 'number': 8090501, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2243, 'pollard_time': 0.0, 'lenstra_factor': {2243, 3607}, 'lenstra_time': 0.0}
{'bit_size': 24, 'number': 9156041, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2237, 'pollard_time': 0.0, 'lenstra_factor': {4093, 2237}, 'lenstra_time': 0.0}
{'bit_size': 24, 'number': 10962533, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2803, 'pollard_time': 0.0, 'lenstra_factor': {2803, 3911}, 'lenstra_time': 0.00099945068359375}
{'bit_size': 24, 'number': 8757583, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 3433, 'pollard_time': 0.0, 'lenstra_factor': {3433, 2551}, 'lenstra_time': 0.0010001659393310547}
{'bit_size': 24, 'number': 13933993, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 3697, 'pollard_time': 0.0, 'lenstra_factor': {3697, 3769}, 'lenstra_time': 0.0009999275207519531}
{'bit_size': 24, 'number': 11687257, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 3371, 'pollard_time': 0.0, 'lenstra_factor': {3371, 3467}, 'lenstra_time': 0.0010020732879638672}
{'bit_size': 24, 'number': 8490679, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2731, 'pollard_time': 0.0, 'lenstra_factor': {2731, 3109}, 'lenstra_time': 0.0}
{'bit_size': 24, 'number': 4751671, 'novale_factor': None, 'novale_time': 0.0010020732879638672, 'pollard_factor': 2153, 'pollard_time': 0.0, 'lenstra_factor': {2153, 2207}, 'lenstra_time': 0.0}
{'bit_size': 24, 'number': 10276543, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 3011, 'pollard_time': 0.0, 'lenstra_factor': {3011, 3413}, 'lenstra_time': 0.0010004043579101562}
{'bit_size': 24, 'number': 5803909, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2789, 'pollard_time': 0.0, 'lenstra_factor': {2081, 2789}, 'lenstra_time': 0.0}
{'bit_size': 24, 'number': 12552557, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 3919, 'pollard_time': 0.0, 'lenstra_factor': {3203, 3919}, 'lenstra_time': 0.0}
{'bit_size': 24, 'number': 11412007, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 3923, 'pollard_time': 0.0, 'lenstra_factor': {3923, 2909}, 'lenstra_time': 0.0}
{'bit_size': 24, 'number': 10831883, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 3739, 'pollard_time': 0.0, 'lenstra_factor': {2897, 3739}, 'lenstra_time': 0.0}
{'bit_size': 24, 'number': 12433559, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 3643, 'pollard_time': 0.0, 'lenstra_factor': {3643, 3413}, 'lenstra_time': 0.0}
{'bit_size': 24, 'number': 11748437, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 3527, 'pollard_time': 0.0, 'lenstra_factor': {3331, 3527}, 'lenstra_time': 0.0}
{'bit_size': 24, 'number': 11604751, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 3079, 'pollard_time': 0.0, 'lenstra_factor': {3769, 3079}, 'lenstra_time': 0.0010006427764892578}
{'bit_size': 24, 'number': 7174957, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2207, 'pollard_time': 0.0, 'lenstra_factor': {3251, 2207}, 'lenstra_time': 0.001001119613647461}
{'bit_size': 24, 'number': 6717121, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2267, 'pollard_time': 0.0, 'lenstra_factor': {2267, 2963}, 'lenstra_time': 0.0009999275207519531}
{'bit_size': 24, 'number': 6472013, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2767, 'pollard_time': 0.0, 'lenstra_factor': {2339, 2767}, 'lenstra_time': 0.0010013580322265625}
{'bit_size': 24, 'number': 6995917, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2243, 'pollard_time': 0.0, 'lenstra_factor': {2243, 3119}, 'lenstra_time': 0.0014202594757080078}
{'bit_size': 24, 'number': 6856687, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2939, 'pollard_time': 0.0, 'lenstra_factor': {2939, 2333}, 'lenstra_time': 0.0010001659393310547}
{'bit_size': 24, 'number': 7022903, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2551, 'pollard_time': 0.0, 'lenstra_factor': {2753, 2551}, 'lenstra_time': 0.0009996891021728516}
{'bit_size': 24, 'number': 6052747, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2843, 'pollard_time': 0.0, 'lenstra_factor': {2129, 2843}, 'lenstra_time': 0.00099945068359375}
{'bit_size': 24, 'number': 12283171, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 3769, 'pollard_time': 0.0, 'lenstra_factor': {3769, 3259}, 'lenstra_time': 0.0}
{'bit_size': 24, 'number': 11527337, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 3739, 'pollard_time': 0.0, 'lenstra_factor': {3083, 3739}, 'lenstra_time': 0.001001596450805664}
{'bit_size': 24, 'number': 10718569, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 3191, 'pollard_time': 0.0010008811950683594, 'lenstra_factor': {3191, 3359}, 'lenstra_time': 0.0}
{'bit_size': 24, 'number': 7184161, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2621, 'pollard_time': 0.0, 'lenstra_factor': {2621, 2741}, 'lenstra_time': 0.0}
{'bit_size': 24, 'number': 11629229, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 4079, 'pollard_time': 0.0015053749084472656, 'lenstra_factor': {2851, 4079}, 'lenstra_time': 0.0}
{'bit_size': 24, 'number': 7855481, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2693, 'pollard_time': 0.0, 'lenstra_factor': {2917, 2693}, 'lenstra_time': 0.0010006427764892578}
{'bit_size': 24, 'number': 11182111, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 3329, 'pollard_time': 0.0, 'lenstra_factor': {3329, 3359}, 'lenstra_time': 0.0009992122650146484}
{'bit_size': 24, 'number': 6934307, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 3329, 'pollard_time': 0.0, 'lenstra_factor': {3329, 2083}, 'lenstra_time': 0.0}
{'bit_size': 24, 'number': 14129681, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 3739, 'pollard_time': 0.0, 'lenstra_factor': {3739, 3779}, 'lenstra_time': 0.0}
{'bit_size': 24, 'number': 11816041, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 3217, 'pollard_time': 0.0, 'lenstra_factor': {3673, 3217}, 'lenstra_time': 0.0}
